Fish_Name,Market,Standard,Catch,Ave_Value,Fish_Body_Composition_L,Fish_Body_Composition_M,Fish_Body_Composition_S,Fish_Body_Composition_XS,Date
生キメジ(キハダ幼魚),銚子,生鮮,0.3,615,,,,,2021-05-19
生ビンナガ,銚子,生鮮,0.0,211,,,,,2021-05-19
生カツオ,銚子,生鮮,0.4,179,,,,,2021-05-19
生カツオ(旋網),銚子,生鮮,210.0,151,,,,,2021-05-19
生キンメダイ,銚子,生鮮,3.5,"1,431",,,,,2021-05-19
生マイワシ,魚津,生鮮,0.7,82,,,,,2021-05-19
生シラス,魚津,生鮮,0.1,378,,,,,2021-05-19
生マアジ,魚津,生鮮,0.8,430,,62,25,13,2021-05-19
生さば類(ﾏｻﾊﾞ・ｺﾞﾏｻﾊﾞ込),魚津,生鮮,0.1,289,,75,25,,2021-05-19
生ブリ(天然：ｲﾅﾀﾞ･ﾜﾗｻ含),魚津,生鮮,0.1,365,48,26,,26,2021-05-19
生ヒラマサ,魚津,生鮮,0.1,432,100,,,,2021-05-19
生さわら類,魚津,生鮮,0.0,648,,,,,2021-05-19
生マダイ(天然),魚津,生鮮,0.5,335,,,,,2021-05-19
生その他のふぐ類,魚津,生鮮,0.3,162,,,,,2021-05-19
生ホッケ,魚津,生鮮,0.0,32,,,,,2021-05-19
生イシモチ,魚津,生鮮,0.1,146,,,,,2021-05-19
生かます類,魚津,生鮮,0.0,616,,,,,2021-05-19
生ウマズラハギ,魚津,生鮮,0.0,502,,,,,2021-05-19
生スルメイカ,魚津,生鮮,0.1,578,,,,,2021-05-19
生アオリイカ,魚津,生鮮,0.1,864,100,,,,2021-05-19
生ホタルイカ,魚津,生鮮,1.7,"1,269",,,,,2021-05-19
生キハダ,気仙沼,生鮮,0.0,194,,,,,2021-05-19
生キメジ(キハダ幼魚),気仙沼,生鮮,0.0,172,,,,,2021-05-19
生メバチ,気仙沼,生鮮,0.0,746,,,,,2021-05-19
生ダルマ(メバチ幼魚),気仙沼,生鮮,10.0,213,,,,,2021-05-19
生ビンナガ,気仙沼,生鮮,342.2,327,,,,,2021-05-19
生カツオ(釣り),気仙沼,生鮮,0.3,300,,,,,2021-05-19
生シイラ,気仙沼,生鮮,0.0,11,,,,,2021-05-19
生クロマグロ,紀伊勝浦,生鮮,0.3,"4,010",,,,,2021-05-19
生キハダ,紀伊勝浦,生鮮,4.0,968,,,,,2021-05-19
生キメジ(キハダ幼魚),紀伊勝浦,生鮮,0.0,244,,,,,2021-05-19
生メバチ,紀伊勝浦,生鮮,0.6,"1,259",,,,,2021-05-19
生ダルマ(メバチ幼魚),紀伊勝浦,生鮮,0.5,296,,,,,2021-05-19
生ビンナガ,紀伊勝浦,生鮮,30.3,305,,,,,2021-05-19
生マカジキ,紀伊勝浦,生鮮,0.4,422,,,,,2021-05-19
生メカジキ,紀伊勝浦,生鮮,0.5,808,,,,,2021-05-19
生くろかわ類(しろかわ含),紀伊勝浦,生鮮,2.5,349,,,,,2021-05-19
生マコガレイ,八木,生鮮,0.0,138,,,,,2021-05-18
生ヒラメ(天然),八木,生鮮,0.0,437,,,,,2021-05-18
生その他のめばる類,八木,生鮮,0.0,113,,,,,2021-05-18
生アイナメ,八木,生鮮,0.0,413,,,,,2021-05-18
生アイナメ,大槌,生鮮,0.0,596,,,,,2021-05-18
生ウミタナゴ,大槌,生鮮,0.0,291,,,,,2021-05-18
生その他の魚類,大槌,生鮮,0.0,255,,,,,2021-05-18
生ヤリイカ,大槌,生鮮,0.0,0,,,,,2021-05-18
生ブリ(天然：ｲﾅﾀﾞ･ﾜﾗｻ含),女川,生鮮,0.0,162,,,,,2021-05-18
生さわら類,女川,生鮮,0.0,839,,,,,2021-05-18
生マダイ(天然),女川,生鮮,0.0,770,,,,,2021-05-18
生ヒラメ(天然),女川,生鮮,0.0,582,,,,,2021-05-18
生めばる類,女川,生鮮,0.0,388,,,,,2021-05-18
生クロソイ,女川,生鮮,0.0,486,,,,,2021-05-18
生そい類,女川,生鮮,0.0,610,,,,,2021-05-18
生イシモチ,女川,生鮮,0.0,54,,,,,2021-05-18
生スズキ,女川,生鮮,0.0,442,,,,,2021-05-18
生スルメイカ,女川,生鮮,0.0,123,,,,,2021-05-18
生その他のいか類,女川,生鮮,0.0,486,,,,,2021-05-18
生ヒラマサ,松浦,生鮮,0.0,216,78,,22,,2021-05-18
生とびうお類,松浦,生鮮,0.0,51,,,,,2021-05-18
生メダイ(ﾀﾞﾙﾏ),松浦,生鮮,0.0,334,,,,,2021-05-18
生アオリイカ,松浦,生鮮,0.0,77,,,,,2021-05-18
生マアジ,枕崎,生鮮,0.0,665,,,,,2021-05-18
生むろあじ類(ﾏﾙｱｼﾞ除),枕崎,生鮮,0.0,50,,,,,2021-05-18
生その他のあじ類,枕崎,生鮮,0.0,739,,,,,2021-05-18
生カンパチ,枕崎,生鮮,0.0,912,,,,,2021-05-18
生マダイ(天然),枕崎,生鮮,0.0,640,,,,,2021-05-18
生シイラ,枕崎,生鮮,0.0,467,,,,,2021-05-18
生イサキ,枕崎,生鮮,0.0,486,,,,,2021-05-18
生とびうお類,枕崎,生鮮,0.0,89,,,,,2021-05-18
生かます類,枕崎,生鮮,0.0,305,,,,,2021-05-18
生ニザダイ,枕崎,生鮮,0.0,670,,,,,2021-05-18
生メジナ,枕崎,生鮮,0.0,679,,,,,2021-05-18
生カワハギ,枕崎,生鮮,0.0,400,,,,,2021-05-18
生ふえだい類(まち類除),枕崎,生鮮,0.0,300,,,,,2021-05-18
生ふえふきだい類(ﾀﾏﾐ),枕崎,生鮮,0.0,750,,,,,2021-05-18
生その他の魚類,枕崎,生鮮,0.0,335,,,,,2021-05-18
生アオリイカ,枕崎,生鮮,0.0,"1,448",,,,,2021-05-18
生こういか類,枕崎,生鮮,0.0,499,,,,,2021-05-18
生ホタルイカ,枕崎,生鮮,0.0,"1,017",,,,,2021-05-18
生マアジ,石巻,生鮮,0.0,"1,188",,,,,2021-05-18
生マスノスケ,石巻,生鮮,0.0,"2,268",,,,,2021-05-18
生ブリ(天然：ｲﾅﾀﾞ･ﾜﾗｻ含),石巻,生鮮,0.0,282,,,,,2021-05-18
生ヒラマサ,石巻,生鮮,0.0,555,,,,,2021-05-18
生イシダイ,石巻,生鮮,0.0,"1,589",,,,,2021-05-18
生クロダイ,石巻,生鮮,0.0,248,,,,,2021-05-18
生その他のふぐ類,石巻,生鮮,0.0,32,,,,,2021-05-18
生トラフグ,石巻,生鮮,0.0,555,,,,,2021-05-18
生ババガレイ（ナメタ）,石巻,生鮮,0.0,242,,,,,2021-05-18
生イシガレイ,石巻,生鮮,0.0,221,,,,,2021-05-18
生ホシガレイ,石巻,生鮮,0.0,"2,143",,,,,2021-05-18
生タケノコメバル,石巻,生鮮,0.0,878,,,,,2021-05-18
生マダラ,石巻,生鮮,0.0,270,,,,,2021-05-18
生ホッケ,石巻,生鮮,0.0,"1,080",,,,,2021-05-18
生かじか類,石巻,生鮮,0.0,108,,,,,2021-05-18
生イシナギ(ｵﾖ),石巻,生鮮,0.0,432,,,,,2021-05-18
生タチウオ,石巻,生鮮,0.0,893,,,,,2021-05-18
生ボラ,石巻,生鮮,0.0,54,,,,,2021-05-18
生コノシロ,石巻,生鮮,0.0,22,,,,,2021-05-18
生あなご類,石巻,生鮮,0.0,"1,381",,,,,2021-05-18
生えい類,石巻,生鮮,0.0,11,,,,,2021-05-18
生アオリイカ,石巻,生鮮,0.0,"3,274",,,,,2021-05-18
生その他のいか類,石巻,生鮮,0.0,835,,,,,2021-05-18
生ミズダコ,石巻,生鮮,0.0,520,,,,,2021-05-18
生あわび類,石巻,生鮮,0.0,"8,964",,,,,2021-05-18
生アサリ,石巻,生鮮,0.0,960,,,,,2021-05-18
ほたてがい殻付,石巻,その他,0.0,"12,960",,,,,2021-05-18
生ばいがい類(つぶ貝),石巻,生鮮,0.0,228,,,,,2021-05-18
生さば類(ﾏｻﾊﾞ・ｺﾞﾏｻﾊﾞ込),野田,生鮮,0.0,11,,,,,2021-05-18
生トキサケ,野田,生鮮,0.0,"2,052",,,,,2021-05-18
生カラフトマス（青鱒）,野田,生鮮,0.0,108,,,,,2021-05-18
生ブリ(天然：ｲﾅﾀﾞ･ﾜﾗｻ含),野田,生鮮,0.0,108,,,,,2021-05-18
生その他のふぐ類,野田,生鮮,0.0,"1,426",,,,,2021-05-18
生その他かれい類,野田,生鮮,0.0,11,,,,,2021-05-18
生マツカワガレイ,野田,生鮮,0.0,864,,,,,2021-05-18
生マコガレイ,野田,生鮮,0.0,119,,,,,2021-05-18
生イシガレイ,野田,生鮮,0.0,0,,,,,2021-05-18
生ヒラメ(天然),野田,生鮮,0.0,407,,,,,2021-05-18
生めばる類,野田,生鮮,0.0,129,,,,,2021-05-18
生その他のめばる類,野田,生鮮,0.0,66,,,,,2021-05-18
生ホッケ,野田,生鮮,0.0,181,,,,,2021-05-18
生スズキ,野田,生鮮,0.0,221,,,,,2021-05-18
生カワハギ,野田,生鮮,0.0,626,,,,,2021-05-18
生あなご類,野田,生鮮,0.0,863,,,,,2021-05-18
生その他の魚類,野田,生鮮,0.0,46,,,,,2021-05-18
生かに類（その他）,野田,生鮮,0.0,0,,,,,2021-05-18
生ヤリイカ,野田,生鮮,0.0,0,,,,,2021-05-18
生たこ類,野田,生鮮,0.0,544,,,,,2021-05-18
生トキサケ,釜石,生鮮,0.0,"1,213",,,,,2021-05-18
生カラフトマス（青鱒）,釜石,生鮮,0.0,335,,,,,2021-05-18
生マスノスケ,釜石,生鮮,0.0,"2,015",,,,,2021-05-18
生ブリ(天然：ｲﾅﾀﾞ･ﾜﾗｻ含),釜石,生鮮,0.0,337,,,,,2021-05-18
生さわら類,釜石,生鮮,0.0,508,,,,,2021-05-18
生マダイ(天然),釜石,生鮮,0.0,629,,,,,2021-05-18
生チダイ,釜石,生鮮,0.0,680,,,,,2021-05-18
生その他かれい類,釜石,生鮮,0.0,108,,,,,2021-05-18
生マコガレイ,釜石,生鮮,0.0,108,,,,,2021-05-18
生ヒラメ(天然),釜石,生鮮,0.0,727,,,,,2021-05-18
生クロソイ,釜石,生鮮,0.0,246,,,,,2021-05-18
生ホッケ,釜石,生鮮,0.0,262,,,,,2021-05-18
生ホウボウ(ｶﾅｶﾞｼﾗ含),釜石,生鮮,0.0,6,,,,,2021-05-18
生アイナメ,釜石,生鮮,0.0,630,,,,,2021-05-18
生スズキ,釜石,生鮮,0.0,352,,,,,2021-05-18
生あなご類,釜石,生鮮,0.0,"1,055",,,,,2021-05-18
生スルメイカ,釜石,生鮮,0.0,864,,,,,2021-05-18
生その他のいか類,釜石,生鮮,0.0,324,,,,,2021-05-18
