水揚日,漁業名,荷主コード,荷主名,組合員区分,分類コード,分類名,魚種コード,魚種名,規格コード,規格名,仕切個数,仕切数量,仕切単価,仕切税抜金額
20181202,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1307,ながら,6,小　　　,0,17,250,4250
20181202,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1307,ながら,7,２小　　,0,5.5,150,825
20181202,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1307,ながら,8,３小　　,0,2.6,70,182
20181202,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1301,まぞい,8,３小　　,0,0.5,100,50
20181202,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1310,がや,0,,0,3.5,120,420
20181202,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,27,その他魚類,2736,さわら,0,,5,2.5,110,275
20181202,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,8,たら,801,まだら,5,中　　　,0,3.5,110,385
20181202,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,8,たら,801,まだら,7,２小　　,0,0.8,30,24
20181202,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,18,あんこう,2708,あんこう,0,,1,6,700,4200
20181202,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,18,あんこう,2708,あんこう,0,,2,6,400,2400
20181202,その他定置網漁業,54161,ツガイナカ中村漁場　２号,0,3,さば,301,さば,65,込　　　,1,615,38,23370
20181203,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,20,いか,2001,するめいか,0,,78,1250,570,712500
20181203,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,12,ひらめ,1202,活ひらめ,5,中　　　,1,1.7,1000,1700
20181203,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,1,さけ,102,さけメス,0,,17,57,750,42750
20181203,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,1,さけ,102,さけメス,65,込　　　,33,99,600,59400
20181203,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,1,さけ,101,さけオス,0,,5,17,496,8432
20181203,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,1,さけ,101,さけオス,65,込　　　,35,113,256,28928
