水揚日,荷主コード,荷主名,分類コード,分類名,魚種コード,魚種名,規格コード,規格名,仕切個数,仕切数量,仕切単価区分名,仕切税抜金額
20140430,54079,ツガイナカ中村漁場　１号,11,かれい,1111,なめたがれい,0,,0,0.2,キロ,12
20140430,54079,ツガイナカ中村漁場　１号,21,たこ,2104,柳だこ,0,,0,3,キロ,1215
20140501,54079,ツガイナカ中村漁場　１号,21,たこ,2104,柳だこ,0,,0,2,キロ,812
20140501,54079,ツガイナカ中村漁場　１号,27,その他魚類,2703,とうべつかじか,0,,2,2,キロ,20
20140501,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,2,16,キロ,1120
20140501,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,4,2.9,キロ,1160
20140501,54079,ツガイナカ中村漁場　１号,9,すけそう,901,すけそう,0,,1,1.5,キロ,15
20140501,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,4,大　　　,1,1,キロ,500
20140501,54079,ツガイナカ中村漁場　１号,11,かれい,1116,まつかわがれい,0,,1,0.2,キロ,40
20140501,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,1,1.2,キロ,804
20140502,54079,ツガイナカ中村漁場　１号,11,かれい,1116,まつかわがれい,0,,1,0.4,キロ,120
20140502,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,3,26,キロ,1560
20140502,54079,ツガイナカ中村漁場　１号,11,かれい,1106,かわがれい,0,,1,0.4,キロ,40
20140502,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,33,３Ｋ台　,3,10,キロ,16000
20140502,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大　　　,2,4,キロ,3200
20140502,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,3,3.6,キロ,1980
20140502,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,10,9.6,キロ,3840
20140502,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小　　,2,1,キロ,130
20140502,54079,ツガイナカ中村漁場　１号,15,さめ,1502,もかざめ,0,,1,80,キロ,1200
20140502,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,5,中　　　,3,9,キロ,810
20140502,54079,ツガイナカ中村漁場　１号,2,ます,202,あおます,7,２小　　,3,1.5,キロ,75
20140507,54079,ツガイナカ中村漁場　１号,9,すけそう,901,すけそう,0,,1,6,キロ,60
20140507,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,5,中　　　,1,2,キロ,160
20140507,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,9,97,キロ,6305
20140507,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,4,大　　　,3,19.5,キロ,1950
20140507,54079,ツガイナカ中村漁場　１号,2,ます,204,ますのすけ,40,１０ｋ台,1,9.7,キロ,43650
20140507,54079,ツガイナカ中村漁場　１号,2,ます,202,あおます,7,２小　　,2,0.9,キロ,45
20140507,54079,ツガイナカ中村漁場　１号,2,ます,202,あおます,6,小　　　,1,0.9,キロ,72
20140507,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,136,小キズ,2,1.7,キロ,340
20140507,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小　　,3,1.3,キロ,169
20140507,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,11,8.5,キロ,3825
20140507,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,33,３Ｋ台　,1,3.1,キロ,3410
20140507,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,33,３Ｋ台　,1,3.5,キロ,5950
20140507,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大　　　,5,11,キロ,9900
20140507,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,10,13.8,キロ,8280
20140508,54079,ツガイナカ中村漁場　１号,27,その他魚類,2703,とうべつかじか,0,,0,1,キロ,10
20140508,54079,ツガイナカ中村漁場　１号,21,たこ,2104,柳だこ,0,,0,2,キロ,812
20140508,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,1,6,キロ,420
20140508,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,136,小キズ,1,0.9,キロ,180
20140508,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,1,0.6,キロ,240
20140508,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,6,7.9,キロ,4740
20140508,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大　　　,2,4.6,キロ,4140
20140508,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,32,２Ｋ台　,2,5.5,キロ,6050
20140509,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,33,３Ｋ台　,1,3.4,キロ,5440
20140509,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,32,２Ｋ台　,1,2.8,キロ,2520
20140509,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大　　　,1,2.3,キロ,1955
20140509,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,8,12.3,キロ,7749
20140509,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,7,5,キロ,2250
20140509,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小　　,1,0.4,キロ,48
20140509,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,136,小キズ,1,0.9,キロ,180
