Fish_Name_JP_in_Data,Fish_Name_JP,Scientific_Name,Fish_Name_EN
ムツ,ムツ,Scombrops_boops,gnomefish
ムラサキイガイ,ムラサキイガイ,Mytilus_galloprovincialis,blue_mussel
むろあじ類,ムロアジ,Decapterus,amberstripe_scad
メカジキ,メカジキ,Xiphias_gladius,swordfish
メダイ,メダイ,Hyperoglyphe_japonica,pacific_barrelfish
めばち,メバチマグロ,Thunnus_obesus,bigeye_tuna
メバチ累計,メバチマグロ,Thunnus_obesus,bigeye_tuna_total
めろーど,イカナゴ,Ammodytes_personatus,pacific_sandlance
ヤマトシジミ,ヤマトシジミ,Corbicula_japonica,japanese_corbicula
ヤリイカ,ヤリイカ,Heterololigo_bleekeri,spear_squid
ユメカサゴ,ユメカサゴ,Helicolenus_hilgendorfii,scorpionfish
塩ギンザケ,ギンザケ,Oncorhynchus_kisutch,salted_silver_salmon
黒ひげ類,チゴダラ,Physiculus_japonicus,Japanese_codling
大目ます,シロサケ,Oncorhynchus_keta,chum_salmon
調研アカウオ,メヌケ,Sebastes,tyoukenn_pacificocean_perch
調研アカガイ,アカガイ,Anadara_broughtonii,tyoukenn_bloody_clam
調研アジ,アジ,Trachurus,tyoukenn_horse_mackerel
調研イサダ,ツノナシオキアミ,Euphausia_pacifica,tyoukenn_cril
調研エビ,エビ,Macrura,tyoukenn_shrimp
調研カジキ,カジキ,Xiphioidei,tyoukenn_marlin
調研カツオ,カツオ,Katsuwonus_pelamis,tyoukenn_skipjack
調研カニ,カニ,Brachyura,tyoukenn_clab
調研カレイ,カレイ,Pleuronectiformes,tyoukenn_flounder
調研キチジ,キチジ,Pterothrissus_gissu,japanese_gissu
調研ギンザケ,ギンザケ,Sebastolobus_macrochir,broadbanded_thornyhead
調研コウナゴ,イカナゴ,Ammodytes_personatus,small_pacific_sandlance
調研サバ,サバ,Scomber,tyoukenn_mackerel
調研サケ,サケ,Oncorhynchus_keta,tyoukenn_chum_salmon
調研サメ,サメ,Elasmobranchii,tyoukenn_shark
調研サンマ,サンマ,Cololabis_saira,tyoukenn_pacific_saury
調研シタビラメ,シタビラメ,Cynoglossidae,tyoukenn_tonguefish
調研シャコ,シャコ,Oratosquilla_oratoria,tyoukenn_mantis_shrimp
調研タイ,タイ,Sparidae,tyoukenn_bream
調研タコ,タコ,Octopoda,tyoukenn_octpus
調研タラ,タラ,Gadidae,tyoukenn_cod
